filename,subject,experiment,phase,group,box,start_date,end_date,start_time,end_time,msn,F_value,G_value,H_value,I_value,J_value,K_value,L_value,M_value,N_value,O_value,P_value,Q_value,R_value,S_value,U_value,V_value,W_value,X_value,Y_value,Z_value,active_lever_presses,inactive_lever_presses,reinforcers
2025-03-10_09h38m_Subject 73.txt,73,OralFentSA,SelfAdmin,One,1,03/10/25,03/10/25,09:38:41,12:42:21,20241014_Golden_Liq_SelfAdmin,0.0,757.0,10800.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,35,757.0
2025-03-10_09h38m_Subject 74.txt,74,OralFentSA,SelfAdmin,One,2,03/10/25,03/10/25,09:38:46,12:42:21,20241014_Golden_Liq_SelfAdmin,0.0,641.0,10800.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,9,641.0
2025-03-10_09h38m_Subject 75.txt,75,OralFentSA,SelfAdmin,One,3,03/10/25,03/10/25,09:38:50,12:42:21,20241014_Golden_Liq_SelfAdmin,0.0,592.0,10800.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,4,592.0
2025-03-10_09h38m_Subject 76.txt,76,OralFentSA,SelfAdmin,One,4,03/10/25,03/10/25,09:38:53,12:42:21,20241014_Golden_Liq_SelfAdmin,0.0,864.0,10800.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3,864.0
2025-03-10_09h38m_Subject 77.txt,77,OralFentSA,SelfAdmin,One,5,03/10/25,03/10/25,09:38:57,12:42:21,20241014_Golden_Liq_SelfAdmin,0.0,694.0,10800.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,4,694.0
2025-03-10_09h39m_Subject 78.txt,78,OralFentSA,SelfAdmin,One,6,03/10/25,03/10/25,09:39:02,12:42:21,20241014_Golden_Liq_SelfAdmin,0.0,586.0,10800.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,9,586.0
2025-03-10_09h39m_Subject 79.txt,79,OralFentSA,SelfAdmin,One,7,03/10/25,03/10/25,09:39:04,12:42:21,20241014_Golden_Liq_SelfAdmin,0.0,1561.0,10800.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,11,1561.0
2025-03-10_09h39m_Subject 80.txt,80,OralFentSA,SelfAdmin,One,8,03/10/25,03/10/25,09:39:08,12:42:21,20241014_Golden_Liq_SelfAdmin,0.0,1618.0,10800.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,4,1618.0
2025-03-10_09h39m_Subject 81.txt,81,OralFentSA,SelfAdmin,One,9,03/10/25,03/10/25,09:39:10,12:42:21,20241014_Golden_Liq_SelfAdmin,0.0,141.0,10800.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,141.0
2025-03-10_09h39m_Subject 82.txt,82,OralFentSA,SelfAdmin,One,10,03/10/25,03/10/25,09:39:13,12:42:21,20241014_Golden_Liq_SelfAdmin,0.0,414.0,10800.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,414.0
2025-03-10_09h39m_Subject 83.txt,83,OralFentSA,SelfAdmin,One,11,03/10/25,03/10/25,09:39:16,12:42:21,20241014_Golden_Liq_SelfAdmin,0.0,403.0,10800.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,403.0
2025-03-10_09h39m_Subject 84.txt,84,OralFentSA,SelfAdmin,One,12,03/10/25,03/10/25,09:39:18,12:42:21,20241014_Golden_Liq_SelfAdmin,0.0,662.0,10800.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,5,662.0
2025-03-10_13h19m_Subject 85.txt,85,OralFentSA,SelfAdmin,One,1,03/10/25,03/10/25,13:19:45,16:21:35,20241014_Golden_Liq_SelfAdmin,0.0,1792.0,10800.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83,55,1792.0
2025-03-10_13h19m_Subject 86.txt,86,OralFentSA,SelfAdmin,One,2,03/10/25,03/10/25,13:19:49,16:21:35,20241014_Golden_Liq_SelfAdmin,0.0,354.0,10800.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,354.0
2025-03-10_13h19m_Subject 87.txt,87,OralFentSA,SelfAdmin,One,3,03/10/25,03/10/25,13:19:52,16:21:35,20241014_Golden_Liq_SelfAdmin,0.0,340.0,10800.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,22,340.0
2025-03-10_13h19m_Subject 88.txt,88,OralFentSA,SelfAdmin,One,4,03/10/25,03/10/25,13:19:55,16:21:35,20241014_Golden_Liq_SelfAdmin,0.0,362.0,10800.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,5,362.0
2025-03-10_13h19m_Subject 89.txt,89,OralFentSA,SelfAdmin,One,5,03/10/25,03/10/25,13:19:58,16:21:35,20241014_Golden_Liq_SelfAdmin,0.0,407.0,10800.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,8,407.0
2025-03-10_13h20m_Subject 0.txt,0,OralFentSA,SelfAdmin,One,6,03/10/25,03/10/25,13:20:02,16:21:35,20241014_Golden_Liq_SelfAdmin,0.0,4.0,10800.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0
