subject,phase,group,bin_start_min,bin_end_min,active_lever_presses,inactive_lever_presses,session_time
73,SelfAdmin,One,0,30,7,7,0-30 min
73,SelfAdmin,One,30,60,9,20,30-60 min
73,SelfAdmin,One,60,90,10,6,60-90 min
73,SelfAdmin,One,90,120,0,0,90-120 min
73,SelfAdmin,One,120,150,4,2,120-150 min
73,SelfAdmin,One,150,180,7,0,150-180 min
74,SelfAdmin,One,0,30,10,7,0-30 min
74,SelfAdmin,One,30,60,0,0,30-60 min
74,SelfAdmin,One,60,90,1,0,60-90 min
74,SelfAdmin,One,90,120,2,2,90-120 min
74,SelfAdmin,One,120,150,4,0,120-150 min
74,SelfAdmin,One,150,180,0,0,150-180 min
75,SelfAdmin,One,0,30,4,3,0-30 min
75,SelfAdmin,One,30,60,2,0,30-60 min
75,SelfAdmin,One,60,90,7,1,60-90 min
75,SelfAdmin,One,90,120,0,0,90-120 min
75,SelfAdmin,One,120,150,7,0,120-150 min
75,SelfAdmin,One,150,180,0,0,150-180 min
76,SelfAdmin,One,0,30,3,2,0-30 min
76,SelfAdmin,One,30,60,0,0,30-60 min
76,SelfAdmin,One,60,90,3,0,60-90 min
76,SelfAdmin,One,90,120,0,1,90-120 min
76,SelfAdmin,One,120,150,5,0,120-150 min
76,SelfAdmin,One,150,180,1,0,150-180 min
77,SelfAdmin,One,0,30,2,0,0-30 min
77,SelfAdmin,One,30,60,5,3,30-60 min
77,SelfAdmin,One,60,90,2,0,60-90 min
77,SelfAdmin,One,90,120,4,1,90-120 min
77,SelfAdmin,One,120,150,3,0,120-150 min
77,SelfAdmin,One,150,180,7,0,150-180 min
78,SelfAdmin,One,0,30,13,8,0-30 min
78,SelfAdmin,One,30,60,4,1,30-60 min
78,SelfAdmin,One,60,90,2,0,60-90 min
78,SelfAdmin,One,90,120,3,0,90-120 min
78,SelfAdmin,One,120,150,0,0,120-150 min
78,SelfAdmin,One,150,180,0,0,150-180 min
79,SelfAdmin,One,0,30,2,1,0-30 min
79,SelfAdmin,One,30,60,1,5,30-60 min
79,SelfAdmin,One,60,90,3,4,60-90 min
79,SelfAdmin,One,90,120,2,1,90-120 min
79,SelfAdmin,One,120,150,2,0,120-150 min
79,SelfAdmin,One,150,180,2,0,150-180 min
80,SelfAdmin,One,0,30,7,3,0-30 min
80,SelfAdmin,One,30,60,5,0,30-60 min
80,SelfAdmin,One,60,90,2,0,60-90 min
80,SelfAdmin,One,90,120,5,0,90-120 min
80,SelfAdmin,One,120,150,1,0,120-150 min
80,SelfAdmin,One,150,180,4,1,150-180 min
81,SelfAdmin,One,0,30,0,0,0-30 min
81,SelfAdmin,One,30,60,0,0,30-60 min
