filename,subject,experiment,phase,group,box,start_date,end_date,start_time,end_time,msn,F_value,G_value,H_value,I_value,J_value,K_value,L_value,M_value,N_value,O_value,P_value,Q_value,R_value,S_value,U_value,V_value,W_value,X_value,Y_value,Z_value,active_lever_presses,inactive_lever_presses,reinforcers
2025-04-11_09h49m_Subject 73.txt,73,OralFentSA,SelfAdmin,One,1,04/11/25,04/11/25,09:49:44,12:51:12,Golden_Liq_SelfAdmin_EXT,0.0,585.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,17,585.0
2025-04-11_09h49m_Subject 74.txt,74,OralFentSA,SelfAdmin,One,2,04/11/25,04/11/25,09:49:51,12:51:12,Golden_Liq_SelfAdmin_EXT,0.0,682.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,682.0
2025-04-11_09h49m_Subject 75.txt,75,OralFentSA,SelfAdmin,One,3,04/11/25,04/11/25,09:49:56,12:51:12,Golden_Liq_SelfAdmin_EXT,0.0,124.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,19,124.0
2025-04-11_09h50m_Subject 76.txt,76,OralFentSA,SelfAdmin,One,4,04/11/25,04/11/25,09:50:03,12:51:12,Golden_Liq_SelfAdmin_EXT,0.0,845.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,18,845.0
2025-04-11_09h50m_Subject 77.txt,77,OralFentSA,SelfAdmin,One,5,04/11/25,04/11/25,09:50:10,12:51:12,Golden_Liq_SelfAdmin_EXT,0.0,569.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,6,569.0
2025-04-11_09h50m_Subject 78.txt,78,OralFentSA,SelfAdmin,One,6,04/11/25,04/11/25,09:50:16,12:51:12,Golden_Liq_SelfAdmin_EXT,0.0,342.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,13,342.0
2025-04-11_09h50m_Subject 79.txt,79,OralFentSA,SelfAdmin,One,7,04/11/25,04/11/25,09:50:21,12:51:12,Golden_Liq_SelfAdmin_EXT,0.0,971.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,41,971.0
2025-04-11_09h50m_Subject 80.txt,80,OralFentSA,SelfAdmin,One,8,04/11/25,04/11/25,09:50:28,12:51:12,Golden_Liq_SelfAdmin_EXT,0.0,817.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,35,817.0
2025-04-11_09h50m_Subject 81.txt,81,OralFentSA,SelfAdmin,One,9,04/11/25,04/11/25,09:50:34,12:51:12,Golden_Liq_SelfAdmin_EXT,0.0,413.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,53,413.0
2025-04-11_09h50m_Subject 82.txt,82,OralFentSA,SelfAdmin,One,10,04/11/25,04/11/25,09:50:40,12:51:12,Golden_Liq_SelfAdmin_EXT,0.0,168.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,9,168.0
2025-04-11_09h50m_Subject 83.txt,83,OralFentSA,SelfAdmin,One,11,04/11/25,04/11/25,09:50:46,12:51:12,Golden_Liq_SelfAdmin_EXT,0.0,67.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,67.0
2025-04-11_09h50m_Subject 84.txt,84,OralFentSA,SelfAdmin,One,12,04/11/25,04/11/25,09:50:52,12:51:12,Golden_Liq_SelfAdmin_EXT,0.0,762.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,21,762.0
2025-04-11_13h10m_Subject 85.txt,85,OralFentSA,SelfAdmin,One,1,04/11/25,04/11/25,13:10:46,16:12:35,Golden_Liq_SelfAdmin_EXT,0.0,795.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,74,795.0
