subject,phase,group,bin_start_min,bin_end_min,active_lever_presses,inactive_lever_presses,session_time
73,SelfAdmin,One,0,30,11,5,0-30 min
73,SelfAdmin,One,30,60,7,0,30-60 min
73,SelfAdmin,One,60,90,11,0,60-90 min
73,SelfAdmin,One,90,120,9,0,90-120 min
73,SelfAdmin,One,120,150,8,0,120-150 min
73,SelfAdmin,One,150,180,8,12,150-180 min
74,SelfAdmin,One,0,30,1,3,0-30 min
74,SelfAdmin,One,30,60,0,0,30-60 min
74,SelfAdmin,One,60,90,0,0,60-90 min
74,SelfAdmin,One,90,120,0,0,90-120 min
74,SelfAdmin,One,120,150,0,0,120-150 min
74,SelfAdmin,One,150,180,0,0,150-180 min
75,SelfAdmin,One,0,30,8,14,0-30 min
75,SelfAdmin,One,30,60,0,0,30-60 min
75,SelfAdmin,One,60,90,0,5,60-90 min
75,SelfAdmin,One,90,120,0,0,90-120 min
75,SelfAdmin,One,120,150,0,0,120-150 min
75,SelfAdmin,One,150,180,0,0,150-180 min
76,SelfAdmin,One,0,30,26,8,0-30 min
76,SelfAdmin,One,30,60,8,1,30-60 min
76,SelfAdmin,One,60,90,3,1,60-90 min
76,SelfAdmin,One,90,120,19,1,90-120 min
76,SelfAdmin,One,120,150,10,4,120-150 min
76,SelfAdmin,One,150,180,18,3,150-180 min
77,SelfAdmin,One,0,30,7,4,0-30 min
77,SelfAdmin,One,30,60,9,0,30-60 min
77,SelfAdmin,One,60,90,13,0,60-90 min
77,SelfAdmin,One,90,120,20,0,90-120 min
77,SelfAdmin,One,120,150,10,0,120-150 min
77,SelfAdmin,One,150,180,3,2,150-180 min
78,SelfAdmin,One,0,30,0,0,0-30 min
78,SelfAdmin,One,30,60,0,0,30-60 min
78,SelfAdmin,One,60,90,1,4,60-90 min
78,SelfAdmin,One,90,120,4,5,90-120 min
78,SelfAdmin,One,120,150,3,2,120-150 min
78,SelfAdmin,One,150,180,6,2,150-180 min
79,SelfAdmin,One,0,30,6,4,0-30 min
79,SelfAdmin,One,30,60,12,8,30-60 min
79,SelfAdmin,One,60,90,11,6,60-90 min
79,SelfAdmin,One,90,120,10,6,90-120 min
79,SelfAdmin,One,120,150,11,4,120-150 min
79,SelfAdmin,One,150,180,9,13,150-180 min
80,SelfAdmin,One,0,30,12,6,0-30 min
80,SelfAdmin,One,30,60,9,7,30-60 min
80,SelfAdmin,One,60,90,12,4,60-90 min
80,SelfAdmin,One,90,120,9,10,90-120 min
