subject,phase,group,bin_start_min,bin_end_min,active_lever_presses,inactive_lever_presses,session_time
73,SelfAdmin,One,0,5,1,0,0-5 min
73,SelfAdmin,One,5,10,3,0,5-10 min
73,SelfAdmin,One,10,15,0,1,10-15 min
73,SelfAdmin,One,15,20,1,0,15-20 min
73,SelfAdmin,One,20,25,2,3,20-25 min
73,SelfAdmin,One,25,30,0,0,25-30 min
73,SelfAdmin,One,30,35,5,0,30-35 min
73,SelfAdmin,One,35,40,0,0,35-40 min
73,SelfAdmin,One,40,45,4,0,40-45 min
73,SelfAdmin,One,45,50,2,0,45-50 min
73,SelfAdmin,One,50,55,0,0,50-55 min
73,SelfAdmin,One,55,60,0,0,55-60 min
74,SelfAdmin,One,0,5,2,1,0-5 min
74,SelfAdmin,One,5,10,1,2,5-10 min
74,SelfAdmin,One,10,15,4,1,10-15 min
74,SelfAdmin,One,15,20,0,0,15-20 min
74,SelfAdmin,One,20,25,1,2,20-25 min
74,SelfAdmin,One,25,30,3,1,25-30 min
74,SelfAdmin,One,30,35,0,0,30-35 min
74,SelfAdmin,One,35,40,0,0,35-40 min
74,SelfAdmin,One,40,45,3,0,40-45 min
74,SelfAdmin,One,45,50,0,0,45-50 min
74,SelfAdmin,One,50,55,0,0,50-55 min
74,SelfAdmin,One,55,60,0,0,55-60 min
75,SelfAdmin,One,0,5,2,0,0-5 min
75,SelfAdmin,One,5,10,1,3,5-10 min
75,SelfAdmin,One,10,15,0,1,10-15 min
75,SelfAdmin,One,15,20,3,3,15-20 min
75,SelfAdmin,One,20,25,2,1,20-25 min
75,SelfAdmin,One,25,30,1,8,25-30 min
75,SelfAdmin,One,30,35,0,1,30-35 min
75,SelfAdmin,One,35,40,0,0,35-40 min
75,SelfAdmin,One,40,45,0,8,40-45 min
75,SelfAdmin,One,45,50,0,0,45-50 min
75,SelfAdmin,One,50,55,0,0,50-55 min
75,SelfAdmin,One,55,60,0,0,55-60 min
76,SelfAdmin,One,0,5,3,2,0-5 min
76,SelfAdmin,One,5,10,4,0,5-10 min
76,SelfAdmin,One,10,15,1,3,10-15 min
76,SelfAdmin,One,15,20,3,2,15-20 min
76,SelfAdmin,One,20,25,0,0,20-25 min
76,SelfAdmin,One,25,30,0,0,25-30 min
76,SelfAdmin,One,30,35,1,1,30-35 min
76,SelfAdmin,One,35,40,0,0,35-40 min
76,SelfAdmin,One,40,45,0,0,40-45 min
76,SelfAdmin,One,45,50,0,0,45-50 min
76,SelfAdmin,One,50,55,0,0,50-55 min
76,SelfAdmin,One,55,60,1,0,55-60 min
77,SelfAdmin,One,0,5,2,0,0-5 min
77,SelfAdmin,One,5,10,0,0,5-10 min
77,SelfAdmin,One,10,15,3,1,10-15 min
77,SelfAdmin,One,15,20,2,0,15-20 min
77,SelfAdmin,One,20,25,1,1,20-25 min
77,SelfAdmin,One,25,30,0,0,25-30 min
77,SelfAdmin,One,30,35,1,0,30-35 min
77,SelfAdmin,One,35,40,0,1,35-40 min
77,SelfAdmin,One,40,45,3,0,40-45 min
77,SelfAdmin,One,45,50,2,1,45-50 min
77,SelfAdmin,One,50,55,0,0,50-55 min
77,SelfAdmin,One,55,60,0,0,55-60 min
78,SelfAdmin,One,0,5,0,0,0-5 min
78,SelfAdmin,One,5,10,0,0,5-10 min
78,SelfAdmin,One,10,15,0,7,10-15 min
78,SelfAdmin,One,15,20,0,0,15-20 min
78,SelfAdmin,One,20,25,1,0,20-25 min
78,SelfAdmin,One,25,30,1,0,25-30 min
78,SelfAdmin,One,30,35,2,0,30-35 min
78,SelfAdmin,One,35,40,0,3,35-40 min
78,SelfAdmin,One,40,45,0,0,40-45 min
78,SelfAdmin,One,45,50,0,0,45-50 min
78,SelfAdmin,One,50,55,1,3,50-55 min
78,SelfAdmin,One,55,60,0,0,55-60 min
