subject,phase,session,session_date,session_length_min,active_lever_presses,inactive_lever_presses,reinforcers,active_presses_per_hour,inactive_presses_per_hour,reinforcers_per_hour,active_inactive_ratio
0,SelfAdmin,2025-03-10_13h20m_Subject 0.txt,2025-03-10,180,0,0,4.0,0.0,0.0,1.3333333333333335,0.0
0,SelfAdmin,2025-03-11_12h51m_Subject 0.txt,2025-03-11,180,0,0,4.0,0.0,0.0,1.3333333333333335,0.0
0,SelfAdmin,2025-03-12_12h37m_Subject 0.txt,2025-03-12,180,0,0,4.0,0.0,0.0,1.3333333333333335,0.0
0,SelfAdmin,2025-03-13_12h44m_Subject 0.txt,2025-03-13,180,0,0,4.0,0.0,0.0,1.3333333333333335,0.0
0,SelfAdmin,2025-03-14_12h54m_Subject 0.txt,2025-03-14,180,0,0,4.0,0.0,0.0,1.3333333333333335,0.0
0,SelfAdmin,2025-03-17_13h17m_Subject 0.txt,2025-03-17,180,0,0,4.0,0.0,0.0,1.3333333333333335,0.0
0,SelfAdmin,2025-03-18_12h46m_Subject 0.txt,2025-03-18,180,0,0,4.0,0.0,0.0,1.3333333333333335,0.0
0,SelfAdmin,2025-03-19_12h34m_Subject 0.txt,2025-03-19,180,0,0,4.0,0.0,0.0,1.3333333333333335,0.0
0,SelfAdmin,2025-03-20_13h39m_Subject 0.txt,2025-03-20,180,0,0,4.0,0.0,0.0,1.3333333333333335,0.0
0,SelfAdmin,2025-03-21_13h24m_Subject 0.txt,2025-03-21,180,0,0,4.0,0.0,0.0,1.3333333333333335,0.0
0,SelfAdmin,2025-03-24_12h45m_Subject 0.txt,2025-03-24,180,0,0,4.0,0.0,0.0,1.3333333333333335,0.0
0,SelfAdmin,2025-03-25_12h17m_Subject 0.txt,2025-03-25,180,0,0,4.0,0.0,0.0,1.3333333333333335,0.0
0,SelfAdmin,2025-03-26_13h29m_Subject 0.txt,2025-03-26,180,0,0,4.0,0.0,0.0,1.3333333333333335,0.0
0,SelfAdmin,2025-03-27_12h03m_Subject 0.txt,2025-03-27,180,0,0,4.0,0.0,0.0,1.3333333333333335,0.0
0,SelfAdmin,2025-03-28_12h09m_Subject 0.txt,2025-03-28,180,0,0,4.0,0.0,0.0,1.3333333333333335,0.0
