subject,phase,session,session_date,session_length_min,active_lever_presses,inactive_lever_presses,reinforcers,active_presses_per_hour,inactive_presses_per_hour,reinforcers_per_hour,active_inactive_ratio
73,SelfAdmin,2025-04-14_09h08m_Subject 73.txt,2025-04-14,180,18,4,414.0,6.0,1.3333333333333335,138.0,4.5
74,SelfAdmin,2025-04-14_09h08m_Subject 74.txt,2025-04-14,180,14,7,339.0,4.666666666666667,2.3333333333333335,113.0,2.0
75,SelfAdmin,2025-04-14_09h08m_Subject 75.txt,2025-04-14,180,9,25,208.0,3.0,8.333333333333334,69.33333333333333,0.36
76,SelfAdmin,2025-04-14_09h09m_Subject 76.txt,2025-04-14,180,13,8,295.0,4.333333333333333,2.666666666666667,98.33333333333333,1.625
77,SelfAdmin,2025-04-14_09h09m_Subject 77.txt,2025-04-14,180,14,4,254.0,4.666666666666667,1.3333333333333335,84.66666666666667,3.5
78,SelfAdmin,2025-04-14_09h09m_Subject 78.txt,2025-04-14,180,5,13,187.0,1.6666666666666665,4.333333333333333,62.333333333333336,0.38461538461538464
79,SelfAdmin,2025-04-14_09h09m_Subject 79.txt,2025-04-14,180,27,44,628.0,9.0,14.666666666666666,209.33333333333334,0.6136363636363636
80,SelfAdmin,2025-04-14_09h09m_Subject 80.txt,2025-04-14,180,54,11,1142.0,18.0,3.6666666666666665,380.66666666666663,4.909090909090909
81,SelfAdmin,2025-04-14_09h09m_Subject 81.txt,2025-04-14,180,13,13,232.0,4.333333333333333,4.333333333333333,77.33333333333334,1.0
82,SelfAdmin,2025-04-14_09h09m_Subject 82.txt,2025-04-14,180,24,15,469.0,8.0,5.0,156.33333333333334,1.6
83,SelfAdmin,2025-04-14_09h09m_Subject 83.txt,2025-04-14,180,4,6,126.0,1.3333333333333335,2.0,42.0,0.6666666666666666
84,SelfAdmin,2025-04-14_09h10m_Subject 84.txt,2025-04-14,180,34,16,684.0,11.333333333333332,5.333333333333334,228.0,2.125
85,SelfAdmin,2025-04-14_10h34m_Subject 85.txt,2025-04-14,180,16,11,319.0,5.333333333333334,3.6666666666666665,106.33333333333333,1.4545454545454546
86,SelfAdmin,2025-04-14_10h34m_Subject 86.txt,2025-04-14,180,13,3,271.0,4.333333333333333,1.0,90.33333333333333,4.333333333333333
87,SelfAdmin,2025-04-14_10h34m_Subject 87.txt,2025-04-14,180,21,13,386.0,7.0,4.333333333333333,128.66666666666666,1.6153846153846154
88,SelfAdmin,2025-04-14_10h34m_Subject 88.txt,2025-04-14,180,29,12,544.0,9.666666666666668,4.0,181.33333333333331,2.4166666666666665
89,SelfAdmin,2025-04-14_10h34m_Subject 89.txt,2025-04-14,180,21,10,391.0,7.0,3.333333333333333,130.33333333333331,2.1
90,SelfAdmin,2025-04-14_11h31m_Subject 90.txt,2025-04-14,180,0,0,1087.0,0.0,0.0,362.3333333333333,0.0
90,SelfAdmin,2025-04-14_11h51m_Subject 90.txt,2025-04-14,180,28,16,734.0,9.333333333333334,5.333333333333334,244.66666666666666,1.75
91,SelfAdmin,2025-04-14_11h31m_Subject 91.txt,2025-04-14,180,0,0,986.0,0.0,0.0,328.6666666666667,0.0
91,SelfAdmin,2025-04-14_11h51m_Subject 91.txt,2025-04-14,180,16,19,393.0,5.333333333333334,6.333333333333333,131.0,0.8421052631578947
92,SelfAdmin,2025-04-14_11h31m_Subject 92.txt,2025-04-14,180,0,0,986.0,0.0,0.0,328.6666666666667,0.0
92,SelfAdmin,2025-04-14_11h51m_Subject 92.txt,2025-04-14,180,17,23,347.0,5.666666666666666,7.666666666666666,115.66666666666667,0.7391304347826086
93,SelfAdmin,2025-04-14_11h43m_Subject 93.txt,2025-04-14,180,0,0,0.0,0.0,0.0,0.0,0.0
93,SelfAdmin,2025-04-14_11h51m_Subject 93.txt,2025-04-14,180,61,45,1129.0,20.333333333333336,15.0,376.3333333333333,1.3555555555555556
94,SelfAdmin,2025-04-14_11h43m_Subject 94.txt,2025-04-14,180,0,0,0.0,0.0,0.0,0.0,0.0
94,SelfAdmin,2025-04-14_11h51m_Subject 94.txt,2025-04-14,180,3,9,168.0,1.0,3.0,56.0,0.3333333333333333
95,SelfAdmin,2025-04-14_11h43m_Subject 95.txt,2025-04-14,180,0,0,0.0,0.0,0.0,0.0,0.0
95,SelfAdmin,2025-04-14_11h51m_Subject 95.txt,2025-04-14,180,24,7,619.0,8.0,2.3333333333333335,206.33333333333334,3.4285714285714284
