subject,phase,session,session_date,time_segment,total_active_presses,total_inactive_presses,total_reinforcers
75,SelfAdmin,2025-04-14_09h08m_Subject 75.txt,2025-04-14,0-60min,9,25,35
78,SelfAdmin,2025-04-14_09h09m_Subject 78.txt,2025-04-14,0-60min,5,13,80
81,SelfAdmin,2025-04-14_09h09m_Subject 81.txt,2025-04-14,0-60min,13,13,18
90,SelfAdmin,2025-04-14_11h51m_Subject 90.txt,2025-04-14,0-60min,28,16,299
90,SelfAdmin,2025-04-14_11h31m_Subject 90.txt,2025-04-14,0-60min,0,0,85
93,SelfAdmin,2025-04-14_11h51m_Subject 93.txt,2025-04-14,0-60min,61,45,79
84,SelfAdmin,2025-04-14_09h10m_Subject 84.txt,2025-04-14,0-60min,34,16,103
87,SelfAdmin,2025-04-14_10h34m_Subject 87.txt,2025-04-14,0-60min,21,13,52
76,SelfAdmin,2025-04-14_09h09m_Subject 76.txt,2025-04-14,0-60min,13,8,79
79,SelfAdmin,2025-04-14_09h09m_Subject 79.txt,2025-04-14,0-60min,27,44,164
73,SelfAdmin,2025-04-14_09h08m_Subject 73.txt,2025-04-14,0-60min,18,4,126
94,SelfAdmin,2025-04-14_11h51m_Subject 94.txt,2025-04-14,0-60min,3,9,101
88,SelfAdmin,2025-04-14_10h34m_Subject 88.txt,2025-04-14,0-60min,29,12,76
82,SelfAdmin,2025-04-14_09h09m_Subject 82.txt,2025-04-14,0-60min,24,15,74
85,SelfAdmin,2025-04-14_10h34m_Subject 85.txt,2025-04-14,0-60min,16,11,58
91,SelfAdmin,2025-04-14_11h51m_Subject 91.txt,2025-04-14,0-60min,16,19,110
91,SelfAdmin,2025-04-14_11h31m_Subject 91.txt,2025-04-14,0-60min,0,0,5
77,SelfAdmin,2025-04-14_09h09m_Subject 77.txt,2025-04-14,0-60min,14,4,29
74,SelfAdmin,2025-04-14_09h08m_Subject 74.txt,2025-04-14,0-60min,14,7,108
80,SelfAdmin,2025-04-14_09h09m_Subject 80.txt,2025-04-14,0-60min,54,11,274
95,SelfAdmin,2025-04-14_11h51m_Subject 95.txt,2025-04-14,0-60min,24,7,236
83,SelfAdmin,2025-04-14_09h09m_Subject 83.txt,2025-04-14,0-60min,4,6,48
86,SelfAdmin,2025-04-14_10h34m_Subject 86.txt,2025-04-14,0-60min,13,3,59
89,SelfAdmin,2025-04-14_10h34m_Subject 89.txt,2025-04-14,0-60min,21,10,57
92,SelfAdmin,2025-04-14_11h51m_Subject 92.txt,2025-04-14,0-60min,17,23,52
92,SelfAdmin,2025-04-14_11h31m_Subject 92.txt,2025-04-14,0-60min,0,0,7
