subject,phase,session,session_date,time_segment,total_active_presses,total_inactive_presses,total_reinforcers
0,SelfAdmin,2025-04-01_11h41m_Subject 0.txt,2025-04-01,0-30min,0,0,0
0,SelfAdmin,2025-04-11_13h11m_Subject 0.txt,2025-04-11,0-30min,0,0,0
0,SelfAdmin,2025-03-21_13h24m_Subject 0.txt,2025-03-21,0-30min,0,0,0
0,SelfAdmin,2025-03-20_13h39m_Subject 0.txt,2025-03-20,0-30min,0,0,0
0,SelfAdmin,2025-03-17_13h17m_Subject 0.txt,2025-03-17,0-30min,0,0,0
0,SelfAdmin,2025-03-31_12h55m_Subject 0.txt,2025-03-31,0-30min,0,0,0
0,SelfAdmin,2025-03-13_12h44m_Subject 0.txt,2025-03-13,0-30min,0,0,0
0,SelfAdmin,2025-04-09_12h24m_Subject 0.txt,2025-04-09,0-30min,0,0,0
0,SelfAdmin,2025-04-02_13h05m_Subject 0.txt,2025-04-02,0-30min,0,0,0
0,SelfAdmin,2025-03-18_12h46m_Subject 0.txt,2025-03-18,0-30min,0,0,0
0,SelfAdmin,2025-03-19_12h34m_Subject 0.txt,2025-03-19,0-30min,0,0,0
0,SelfAdmin,2025-03-25_12h17m_Subject 0.txt,2025-03-25,0-30min,0,0,0
0,SelfAdmin,2025-03-26_13h29m_Subject 0.txt,2025-03-26,0-30min,0,0,0
0,SelfAdmin,2025-03-12_12h37m_Subject 0.txt,2025-03-12,0-30min,0,0,0
0,SelfAdmin,2025-04-04_11h54m_Subject 0.txt,2025-04-04,0-30min,0,0,0
0,SelfAdmin,2025-04-08_12h48m_Subject 0.txt,2025-04-08,0-30min,0,0,0
0,SelfAdmin,2025-03-10_13h20m_Subject 0.txt,2025-03-10,0-30min,0,0,0
0,SelfAdmin,2025-03-11_12h51m_Subject 0.txt,2025-03-11,0-30min,0,0,0
0,SelfAdmin,2025-04-07_12h35m_Subject 0.txt,2025-04-07,0-30min,0,0,0
0,SelfAdmin,2025-03-24_12h45m_Subject 0.txt,2025-03-24,0-30min,0,0,0
0,SelfAdmin,2025-03-27_12h03m_Subject 0.txt,2025-03-27,0-30min,0,0,0
0,SelfAdmin,2025-03-14_12h54m_Subject 0.txt,2025-03-14,0-30min,0,0,0
0,SelfAdmin,2025-03-28_12h09m_Subject 0.txt,2025-03-28,0-30min,0,0,0
0,SelfAdmin,2025-04-03_12h22m_Subject 0.txt,2025-04-03,0-30min,0,0,0
0,SelfAdmin,2025-04-10_13h07m_Subject 0.txt,2025-04-10,0-30min,0,0,0
90,SelfAdmin,2025-03-10_13h20m_Subject 90.txt,2025-03-10,0-30min,14,7,117
90,SelfAdmin,2025-04-08_12h49m_Subject 90.txt,2025-04-08,0-30min,7,5,136
90,SelfAdmin,2025-04-14_11h51m_Subject 90.txt,2025-04-14,0-30min,12,8,158
90,SelfAdmin,2025-03-12_12h38m_Subject 90.txt,2025-03-12,0-30min,8,4,200
90,SelfAdmin,2025-03-28_12h09m_Subject 90.txt,2025-03-28,0-30min,12,6,66
90,SelfAdmin,2025-03-21_13h24m_Subject 90.txt,2025-03-21,0-30min,8,1,305
90,SelfAdmin,2025-04-04_11h54m_Subject 90.txt,2025-04-04,0-30min,9,2,115
90,SelfAdmin,2025-03-11_12h51m_Subject 90.txt,2025-03-11,0-30min,12,16,228
90,SelfAdmin,2025-03-31_12h55m_Subject 90.txt,2025-03-31,0-30min,6,3,97
90,SelfAdmin,2025-03-27_12h03m_Subject 90.txt,2025-03-27,0-30min,13,5,84
90,SelfAdmin,2025-04-07_12h35m_Subject 90.txt,2025-04-07,0-30min,6,2,159
90,SelfAdmin,2025-03-24_12h45m_Subject 90.txt,2025-03-24,0-30min,21,20,140
90,SelfAdmin,2025-03-19_12h34m_Subject 90.txt,2025-03-19,0-30min,8,3,257
90,SelfAdmin,2025-03-20_13h39m_Subject 90.txt,2025-03-20,0-30min,7,10,183
90,SelfAdmin,2025-04-10_13h07m_Subject 90.txt,2025-04-10,0-30min,12,3,117
90,SelfAdmin,2025-04-09_12h24m_Subject 90.txt,2025-04-09,0-30min,9,5,91
90,SelfAdmin,2025-03-26_13h29m_Subject 90.txt,2025-03-26,0-30min,19,7,111
90,SelfAdmin,2025-03-14_12h55m_Subject 90.txt,2025-03-14,0-30min,8,19,260
90,SelfAdmin,2025-04-02_13h05m_Subject 90.txt,2025-04-02,0-30min,6,2,52
90,SelfAdmin,2025-04-11_13h11m_Subject 90.txt,2025-04-11,0-30min,6,3,173
90,SelfAdmin,2025-04-03_12h22m_Subject 90.txt,2025-04-03,0-30min,11,5,69
90,SelfAdmin,2025-04-14_11h31m_Subject 90.txt,2025-04-14,0-30min,0,0,85
90,SelfAdmin,2025-03-17_13h18m_Subject 90.txt,2025-03-17,0-30min,17,4,265
90,SelfAdmin,2025-03-18_12h46m_Subject 90.txt,2025-03-18,0-30min,11,5,224
90,SelfAdmin,2025-04-01_11h41m_Subject 90.txt,2025-04-01,0-30min,14,1,80
90,SelfAdmin,2025-03-13_12h44m_Subject 90.txt,2025-03-13,0-30min,8,9,205
90,SelfAdmin,2025-03-25_12h17m_Subject 90.txt,2025-03-25,0-30min,16,12,84
78,SelfAdmin,2025-04-10_09h50m_Subject 78.txt,2025-04-10,0-30min,2,2,49
78,SelfAdmin,2025-03-21_09h24m_Subject 78.txt,2025-03-21,0-30min,6,3,51
78,SelfAdmin,2025-03-31_09h38m_Subject 78.txt,2025-03-31,0-30min,6,11,49
78,SelfAdmin,2025-04-04_08h37m_Subject 78.txt,2025-04-04,0-30min,5,4,16
78,SelfAdmin,2025-04-07_08h41m_Subject 78.txt,2025-04-07,0-30min,2,1,32
78,SelfAdmin,2025-03-19_09h13m_Subject 78.txt,2025-03-19,0-30min,6,0,17
78,SelfAdmin,2025-03-11_09h21m_Subject 78.txt,2025-03-11,0-30min,4,2,33
78,SelfAdmin,2025-03-26_10h13m_Subject 78.txt,2025-03-26,0-30min,6,5,27
78,SelfAdmin,2025-04-09_09h06m_Subject 78.txt,2025-04-09,0-30min,0,2,56
78,SelfAdmin,2025-04-03_09h07m_Subject 78.txt,2025-04-03,0-30min,4,2,26
78,SelfAdmin,2025-03-18_09h19m_Subject 78.txt,2025-03-18,0-30min,11,0,27
78,SelfAdmin,2025-04-01_08h21m_Subject 78.txt,2025-04-01,0-30min,5,3,60
78,SelfAdmin,2025-04-02_09h49m_Subject 78.txt,2025-04-02,0-30min,0,0,16
78,SelfAdmin,2025-03-20_10h05m_Subject 78.txt,2025-03-20,0-30min,9,2,17
78,SelfAdmin,2025-04-14_09h09m_Subject 78.txt,2025-04-14,0-30min,2,7,43
78,SelfAdmin,2025-03-14_09h19m_Subject 78.txt,2025-03-14,0-30min,8,7,29
78,SelfAdmin,2025-03-28_08h53m_Subject 78.txt,2025-03-28,0-30min,4,0,20
78,SelfAdmin,2025-04-08_09h19m_Subject 78.txt,2025-04-08,0-30min,3,0,80
78,SelfAdmin,2025-03-27_08h41m_Subject 78.txt,2025-03-27,0-30min,8,1,32
78,SelfAdmin,2025-03-10_09h39m_Subject 78.txt,2025-03-10,0-30min,13,8,54
78,SelfAdmin,2025-03-24_09h15m_Subject 78.txt,2025-03-24,0-30min,8,2,32
78,SelfAdmin,2025-03-25_09h04m_Subject 78.txt,2025-03-25,0-30min,8,7,20
78,SelfAdmin,2025-03-12_09h12m_Subject 78.txt,2025-03-12,0-30min,4,4,22
78,SelfAdmin,2025-03-17_08h54m_Subject 78.txt,2025-03-17,0-30min,8,3,26
78,SelfAdmin,2025-03-13_09h06m_Subject 78.txt,2025-03-13,0-30min,4,2,30
78,SelfAdmin,2025-04-11_09h50m_Subject 78.txt,2025-04-11,0-30min,0,0,50
93,SelfAdmin,2025-03-10_13h20m_Subject 93.txt,2025-03-10,0-30min,10,2,98
93,SelfAdmin,2025-03-27_12h03m_Subject 93.txt,2025-03-27,0-30min,20,10,83
93,SelfAdmin,2025-04-02_13h06m_Subject 93.txt,2025-04-02,0-30min,18,16,55
93,SelfAdmin,2025-04-04_11h55m_Subject 93.txt,2025-04-04,0-30min,15,22,88
93,SelfAdmin,2025-03-28_12h09m_Subject 93.txt,2025-03-28,0-30min,11,14,61
93,SelfAdmin,2025-03-24_12h48m_Subject 93.txt,2025-03-24,0-30min,17,11,78
93,SelfAdmin,2025-03-12_12h38m_Subject 93.txt,2025-03-12,0-30min,4,2,126
