subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
60,1,2025-03-03,0-180min,145,39,695,0.5760869565217391
60,2,2025-03-04,0-180min,52,95,485,-0.2925170068027211
60,3,2025-03-05,0-180min,65,40,1426,0.23809523809523808
60,4,2025-03-06,0-180min,80,57,1191,0.1678832116788321
60,5,2025-03-07,0-180min,95,68,1547,0.1656441717791411
60,6,2025-03-10,0-180min,42,58,862,-0.16
60,7,2025-03-11,0-180min,18,30,1053,-0.25
60,8,2025-03-12,0-180min,65,28,769,0.3978494623655914
60,9,2025-03-13,0-180min,30,34,1184,-0.0625
60,10,2025-03-14,0-180min,113,50,1642,0.38650306748466257
60,11,2025-03-17,0-180min,59,36,822,0.24210526315789474
60,12,2025-03-18,0-180min,24,18,1409,0.14285714285714285
60,13,2025-03-19,0-180min,32,9,756,0.5609756097560976
60,14,2025-03-20,0-180min,146,33,1164,0.6312849162011173
60,15,2025-03-21,0-180min,178,21,933,0.7889447236180904
