subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
60,1,2025-02-17,0-60min,0,1,245,-1.0
60,2,2025-02-18,0-60min,1,1,82,0.0
60,3,2025-02-19,0-60min,20,8,119,0.42857142857142855
60,4,2025-02-20,0-60min,22,10,100,0.375
60,5,2025-02-21,0-60min,27,20,104,0.14893617021276595
60,6,2025-02-24,0-60min,95,19,223,0.6666666666666666
60,7,2025-02-25,0-60min,47,26,212,0.2876712328767123
60,8,2025-02-26,0-60min,62,5,186,0.8507462686567164
60,9,2025-02-27,0-60min,63,41,184,0.21153846153846154
60,10,2025-02-28,0-60min,36,53,195,-0.19101123595505617
