subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
75,1,2025-03-10,0-30min,7,3,80,0.4
75,2,2025-03-11,0-30min,21,3,60,0.75
75,3,2025-03-12,0-30min,4,1,72,0.6
75,4,2025-03-13,0-30min,2,3,57,-0.2
75,5,2025-03-14,0-30min,35,11,78,0.5217391304347826
75,6,2025-03-17,0-30min,18,27,41,-0.2
75,7,2025-03-18,0-30min,24,11,14,0.37142857142857144
75,8,2025-03-19,0-30min,17,7,23,0.4166666666666667
75,9,2025-03-20,0-30min,22,9,17,0.41935483870967744
75,10,2025-03-21,0-30min,15,13,33,0.07142857142857142
