subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
92,1,2025-03-24,0-180min,153,50,476,0.5073891625615764
92,2,2025-03-25,0-180min,156,62,442,0.43119266055045874
92,3,2025-03-26,0-180min,143,82,406,0.27111111111111114
92,4,2025-03-27,0-180min,163,135,242,0.09395973154362416
92,5,2025-03-28,0-180min,194,106,246,0.29333333333333333
92,6,2025-03-31,0-180min,211,111,300,0.3105590062111801
92,7,2025-04-01,0-180min,123,132,259,-0.03529411764705882
92,8,2025-04-02,0-180min,124,233,257,-0.30532212885154064
92,9,2025-04-03,0-180min,144,166,233,-0.07096774193548387
92,10,2025-04-04,0-180min,120,159,180,-0.13978494623655913
92,11,2025-04-07,0-180min,146,158,304,-0.039473684210526314
92,12,2025-04-08,0-180min,136,192,314,-0.17073170731707318
92,13,2025-04-09,0-180min,128,151,272,-0.08243727598566308
92,14,2025-04-10,0-180min,126,168,281,-0.14285714285714285
92,15,2025-04-11,0-180min,185,166,384,0.05413105413105413
