subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
91,1,2025-03-10,0-180min,26,6,959,0.625
91,2,2025-03-11,0-180min,24,7,1101,0.5483870967741935
91,3,2025-03-12,0-180min,57,24,597,0.4074074074074074
91,4,2025-03-13,0-180min,103,50,307,0.3464052287581699
91,5,2025-03-14,0-180min,46,18,550,0.4375
91,6,2025-03-17,0-180min,21,6,649,0.5555555555555556
91,7,2025-03-18,0-180min,25,9,936,0.47058823529411764
91,8,2025-03-19,0-180min,29,6,1800,0.6571428571428571
91,9,2025-03-20,0-180min,50,11,1928,0.639344262295082
91,10,2025-03-21,0-180min,48,8,972,0.7142857142857143
