subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
91,1,2025-03-24,60-120min,114,46,138,0.425
91,2,2025-03-25,60-120min,29,15,118,0.3181818181818182
91,3,2025-03-26,60-120min,30,25,150,0.09090909090909091
91,4,2025-03-27,60-120min,35,26,79,0.14754098360655737
91,5,2025-03-28,60-120min,23,17,62,0.15
91,6,2025-03-31,60-120min,20,16,111,0.1111111111111111
91,7,2025-04-01,60-120min,25,15,46,0.25
91,8,2025-04-02,60-120min,19,17,56,0.05555555555555555
91,9,2025-04-03,60-120min,15,20,44,-0.14285714285714285
91,10,2025-04-04,60-120min,21,23,18,-0.045454545454545456
91,11,2025-04-07,60-120min,18,17,15,0.02857142857142857
91,12,2025-04-08,60-120min,22,27,25,-0.10204081632653061
91,13,2025-04-09,60-120min,27,28,39,-0.01818181818181818
91,14,2025-04-10,60-120min,18,8,49,0.38461538461538464
91,15,2025-04-11,60-120min,21,31,42,-0.19230769230769232
