subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
95,1,2025-03-24,0-180min,239,125,1041,0.3131868131868132
95,2,2025-03-25,0-180min,253,75,1750,0.5426829268292683
95,3,2025-03-26,0-180min,184,68,2548,0.4603174603174603
95,4,2025-03-27,0-180min,113,41,927,0.4675324675324675
95,5,2025-03-28,0-180min,60,13,1190,0.6438356164383562
95,6,2025-03-31,0-180min,46,23,909,0.3333333333333333
95,7,2025-04-01,0-180min,41,16,1520,0.43859649122807015
95,8,2025-04-02,0-180min,53,15,1482,0.5588235294117647
95,9,2025-04-03,0-180min,59,11,743,0.6857142857142857
95,10,2025-04-04,0-180min,66,8,506,0.7837837837837838
95,11,2025-04-07,0-180min,48,6,447,0.7777777777777778
95,12,2025-04-08,0-180min,61,13,514,0.6486486486486487
95,13,2025-04-09,0-180min,78,7,501,0.8352941176470589
95,14,2025-04-10,0-180min,73,20,559,0.5698924731182796
95,15,2025-04-11,0-180min,52,11,537,0.6507936507936508
