subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
75,1,2025-03-24,0-60min,19,32,98,-0.2549019607843137
75,2,2025-03-25,0-60min,7,27,37,-0.5882352941176471
75,3,2025-03-26,0-60min,10,17,62,-0.25925925925925924
75,4,2025-03-27,0-60min,7,18,31,-0.44
75,5,2025-03-28,0-60min,5,18,39,-0.5652173913043478
75,6,2025-03-31,0-60min,5,12,56,-0.4117647058823529
75,7,2025-04-01,0-60min,26,16,65,0.23809523809523808
75,8,2025-04-02,0-60min,24,10,37,0.4117647058823529
75,9,2025-04-03,0-60min,24,25,53,-0.02040816326530612
75,10,2025-04-04,0-60min,29,14,54,0.3488372093023256
75,11,2025-04-07,0-60min,4,9,18,-0.38461538461538464
75,12,2025-04-08,0-60min,5,6,43,-0.09090909090909091
75,13,2025-04-09,0-60min,17,12,59,0.1724137931034483
75,14,2025-04-10,0-60min,7,18,23,-0.44
75,15,2025-04-11,0-60min,14,14,28,0.0
