subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
78,1,2025-03-24,0-180min,75,30,216,0.42857142857142855
78,2,2025-03-25,0-180min,65,38,76,0.2621359223300971
78,3,2025-03-26,0-180min,65,17,142,0.5853658536585366
78,4,2025-03-27,0-180min,30,15,119,0.3333333333333333
78,5,2025-03-28,0-180min,33,22,92,0.2
78,6,2025-03-31,0-180min,29,18,224,0.23404255319148937
78,7,2025-04-01,0-180min,20,11,168,0.2903225806451613
78,8,2025-04-02,0-180min,22,12,85,0.29411764705882354
78,9,2025-04-03,0-180min,38,22,89,0.26666666666666666
78,10,2025-04-04,0-180min,30,17,89,0.2765957446808511
78,11,2025-04-07,0-180min,16,11,104,0.18518518518518517
78,12,2025-04-08,0-180min,18,10,191,0.2857142857142857
78,13,2025-04-09,0-180min,36,24,166,0.2
78,14,2025-04-10,0-180min,50,20,279,0.42857142857142855
78,15,2025-04-11,0-180min,15,14,224,0.034482758620689655
